Date,equity,exposure,n_held,gate,vol_scalar
2001-05-02,1.034366187162198,0.0,0,0.0,0.7104485604665662
2001-05-03,1.0346053869916194,0.0,0,0.0,0.7290592060968437
2001-05-04,1.034844642136614,0.0,0,0.0,0.7515119877130119
2001-05-07,1.0350839526099733,0.0,0,0.0,0.7730868518582118
2001-05-08,1.0353233184244925,0.0,0,0.0,0.7955611379421988
2001-05-09,1.0355627395929692,0.0,0,0.0,0.8204683551189644
2001-05-10,1.0358022161282041,0.0,0,0.0,0.8454261339234136
2001-05-11,1.036041748043001,0.0,0,0.0,0.8641195715673806
2001-05-14,1.0362813353501668,0.0,0,0.0,0.8912426136973169
2001-05-15,1.0365209780625106,0.0,0,0.0,0.9149683593910333
2001-05-16,1.0367606761928454,0.0,0,0.0,0.9130333342091502
2001-05-17,1.0370004297539865,0.0,0,0.0,0.920891523465961
2001-05-18,1.0372402387587527,0.0,0,0.0,0.9408649923067
2001-05-21,1.0374801032199652,0.0,0,0.0,0.9296631227212481
2001-05-22,1.0377200231504486,0.0,0,0.0,0.9532890145884002
2001-05-23,1.0379599985630303,0.0,0,0.0,0.9440219336554616
2001-05-24,1.0382000294705407,0.0,0,0.0,0.9723061014869309
2001-05-25,1.038440115885813,0.0,0,0.0,1.0
2001-05-28,1.0386802578216836,0.0,0,0.0,1.0
2001-05-29,1.0389204552909919,0.0,0,0.0,1.0
2001-05-30,1.03916070830658,0.0,0,0.0,1.0
2001-05-31,1.039401016881293,0.0,0,0.0,1.0
2001-06-01,1.0396413810279794,0.0,0,0.0,1.0
2001-06-04,1.03988180075949,0.0,0,0.0,1.0
2001-06-05,1.0401222760886795,0.0,0,0.0,1.0
2001-06-06,1.0403628070284043,0.0,0,0.0,1.0
2001-06-07,1.040603393591525,0.0,0,0.0,1.0
2001-06-08,1.0408440357909046,0.0,0,0.0,1.0
2001-06-11,1.041084733639409,0.0,0,0.0,1.0
2001-06-12,1.041325487149907,0.0,0,0.0,1.0
2001-06-13,1.0415662963352708,0.0,0,0.0,1.0
2001-06-14,1.0418071612083755,0.0,0,0.0,1.0
2001-06-15,1.0420480817820987,0.0,0,0.0,1.0
2001-06-18,1.0422890580693216,0.0,0,0.0,1.0
2001-06-19,1.042530090082928,0.0,0,0.0,1.0
2001-06-20,1.0427711778358046,0.0,0,0.0,1.0
2001-06-21,1.0430123213408415,0.0,0,0.0,1.0
2001-06-22,1.0432535206109315,0.0,0,0.0,1.0
2001-06-25,1.04349477565897,0.0,0,0.0,1.0
2001-06-26,1.0437360864978564,0.0,0,0.0,1.0
2001-06-27,1.0439774531404922,0.0,0,0.0,1.0
2001-06-28,1.044218875599782,0.0,0,0.0,1.0
2001-06-29,1.044460353888634,0.0,0,0.0,1.0
2001-07-02,1.0447018880199583,0.0,0,0.0,1.0
2001-07-03,1.044943478006669,0.0,0,0.0,1.0
2001-07-04,1.045185123861683,0.0,0,0.0,1.0
2001-07-05,1.0454268255979196,0.0,0,0.0,1.0
2001-07-06,1.0456685832283015,0.0,0,0.0,1.0
2001-07-09,1.0459103967657546,0.0,0,0.0,1.0
2001-07-10,1.0461522662232074,0.0,0,0.0,1.0
2001-07-11,1.0463941916135917,0.0,0,0.0,1.0
2001-07-12,1.046636172949842,0.0,0,0.0,1.0
2001-07-13,1.0468782102448957,0.0,0,0.0,1.0
2001-07-16,1.0471203035116938,0.0,0,0.0,1.0
2001-07-17,1.0473624527631797,0.0,0,0.0,1.0
2001-07-18,1.0476046580123002,0.0,0,0.0,1.0
2001-07-19,1.0478469192720046,0.0,0,0.0,1.0
2001-07-20,1.0480892365552457,0.0,0,0.0,1.0
2001-07-23,1.048331609874979,0.0,0,0.0,1.0
2001-07-24,1.0485740392441634,0.0,0,0.0,1.0
2001-07-25,1.04881652467576,0.0,0,0.0,1.0
2001-07-26,1.0490590661827335,0.0,0,0.0,1.0
2001-07-27,1.0493016637780517,0.0,0,0.0,1.0
2001-07-30,1.049544317474685,0.0,0,0.0,1.0
2001-07-31,1.049787027285607,0.0,0,0.0,1.0
2001-08-01,1.050029793223794,0.0,0,0.0,1.0
2001-08-02,1.0502726153022262,0.0,0,0.0,1.0
2001-08-03,1.0505154935338856,0.0,0,0.0,1.0
2001-08-06,1.050758427931758,0.0,0,0.0,1.0
2001-08-07,1.051001418508832,0.0,0,0.0,1.0
2001-08-08,1.0512444652780992,0.0,0,0.0,1.0
2001-08-09,1.0514875682525542,0.0,0,0.0,1.0
2001-08-10,1.0517307274451944,0.0,0,0.0,1.0
2001-08-13,1.0519739428690207,0.0,0,0.0,1.0
